Evening Of,Morning Of,Time to go to bed,Time to fall asleep,Time to wake up,Time to get out of bed
05/24/2018,05/25/2018,N/A,N/A,8:00 AM,8:00 AM
05/25/2018,05/26/2018,N/A,N/A,N/A,N/A
05/26/2018,05/27/2018,N/A,N/A,N/A,N/A
05/27/2018,05/28/2018,N/A,N/A,N/A,N/A
05/28/2018,05/29/2018,N/A,N/A,8:00 AM,9:30 AM
05/29/2018,05/30/2018,1:30 AM,2:00 AM,8:00 AM,9:30 AM
05/30/2018,05/31/2018,N/A,2:30 AM,N/A,N/A
05/31/2018,06/01/2018,2:00 AM,2:30 AM,9:00 AM,9:30 AM
06/01/2018,06/02/2018,1:00 AM,2:30 AM,9:00 AM,12:00 PM
06/02/2018,06/03/2018,2:00 AM,2:30 AM,8:00 AM,1:00 PM
06/03/2018,06/04/2018,2:00 AM,2:30 AM,8:00 AM,9:30 AM
06/04/2018,06/05/2018,2:00 AM,3:00 AM,11:00 AM,11:00 AM
06/05/2018,06/06/2018,1:00 AM,2:00 AM,9:00 AM,10:00 AM
06/06/2018,06/07/2018,2:00 AM,3:30 AM,9:00 AM,10:00 AM
06/07/2018,06/08/2018,12:00 AM,2:00 AM,9:30 AM,10:00 AM
06/08/2018,06/09/2018,1:30,3:30 AM,10:30 AM,12:00 PM
06/09/2018,06/10/2018,1:00 AM,2:00 AM,10:00 AM,11:30 AM
06/10/2018,06/11/2018,1:30,2:00 AM,9:00 AM,9:30 AM
06/11/2018,06/12/2018,1:00 AM,2:00 AM,9:00 AM,10:30 AM
06/12/2018,06/13/2018,1:00 AM,2:30 AM,8:00 AM,9:30 AM
06/13/2018,06/14/2018,1:00 AM,1:30 AM,9:00 AM,9:30 AM
06/14/2018,06/15/2018,N/A,N/A,N/A,N/A
06/15/2018,06/16/2018,1:00 AM,2:00 AM,10:30 AM,12:00 PM
06/16/2018,06/17/2018,1:00 AM,3:00 AM,10:30 AM,1:00 PM
06/17/2018,06/18/2018,1:00 AM,3:00 AM,9:45 AM,9:45 AM
06/18/2018,06/19/2018,1:00 AM,3:00 AM,9:45 AM,9:45 AM
06/19/2018,06/20/2018,1:00 AM,2:00 AM,8:45,9:45 AM
06/20/2018,06/21/2018,1:30 AM,2:00 AM,8:45 AM,9:45 AM
06/21/2018,06/22/2018,1:00 AM,3:00 AM,8:30 AM,10:00 AM
06/22/2018,06/23/2018,6:00 AM,3:00 AM,10:30 AM,12:00 PM
06/23/2018,06/24/2018,12:30 AM,1:00 AM,10:30 AM,1:00 PM
06/24/2018,06/25/2018,1:00 AM,2:00 AM,7:30 AM,9:30 AM
06/25/2018,06/26/2018,12:30 AM,1:00 AM,7:30 AM,10:00 AM
06/26/2018,06/27/2018,1:00 AM,2:00 AM,7:30 AM,10:00 AM
06/27/2018,06/28/2018,2:15 AM,3:00 AM,9:30 AM,10:00 AM
06/28/2018,06/29/2018,12:30 AM,2:00 AM,8:30 AM,10:00 AM
06/29/2018,06/30/2018,1:30 AM,2:00 AM,10:00 AM,10:30 AM
06/30/2018,07/01/2018,12:30 AM,1:00 AM,11:45 AM,12:00 PM
07/01/2018,07/02/2018,12:30 AM,1:00 AM,9:45 AM,10:00 AM
07/02/2018,07/03/2018,1:00 AM,2:00 AM,9:45 AM,10:00 AM
07/03/2018,07/04/2018,12:30 AM,2:00 AM,9:45 AM,10:00 AM
07/04/2018,07/05/2018,1:00 AM,2:00 AM,9:45 AM,9:45 AM
07/05/2018,07/06/2018,2:00 AM,3:00 AM,8:45 AM,8:45 AM
07/06/2018,07/07/2018,1:00 AM,2:00 AM,10:00 AM,11:00 AM
07/07/2018,07/08/2018,1:00 AM,3:00 AM,10:30 AM,1:00 PM
07/08/2018,07/09/2018,2:00 AM,2:30 AM,9:00 AM,9:30 AM
07/09/2018,07/10/2018,1:00 AM,1:45 AM,8:00 AM,9:45 AM
07/10/2018,07/11/2018,1:30 AM,2:15 AM,10:00 AM,10:00 AM
07/11/2018,07/12/2018,1:30 AM,2:00 AM,9:45 AM,10:00 AM
07/12/2018,07/13/2018,1:00 AM,2:00 AM,9:45 AM,10:00 AM
07/13/2018,07/14/2018,1:30 AM,2:15 AM,10:00 AM,11:30 AM
07/14/2018,07/15/2018,12:30 AM,12:45 AM,10:00 AM,5:00 PM
07/15/2018,07/16/2018,2:00 AM,2:15 AM,9:45 AM,10:15 AM
07/16/2018,07/17/2018,1:30 AM,3:00 AM,8:30 AM,9:30 AM
07/17/2018,07/18/2018,1:15 AM,2:15 AM,8:45 AM,9:45 AM
07/18/2018,07/19/2018,1:30 AM,2:30 AM,9:30 AM,10:00 AM
07/19/2018,07/20/2018,1:15 AM,2:30 AM,9:45 AM,10:00 AM
07/20/2018,07/21/2018,1:15 AM,1:30 AM,8:00 AM,8:15 AM
07/21/2018,07/22/2018,1:30 AM,2:00 AM,10:45 AM,2:15 PM
07/22/2018,07/23/2018,1:15 AM,1:30 AM,9:00 AM,9:45 AM
07/23/2018,07/24/2018,1:30 AM,2:00 AM,9:00 AM,10:00 AM
07/24/2018,07/25/2018,1:45 AM,2:00 AM,9:45 AM,10:00 AM
07/25/2018,07/26/2018,1:30 AM,3:00 AM,9:00 AM,9:30 AM
07/26/2018,07/27/2018,12:00 AM,1:00 AM,9:00 AM,9:15 AM
07/27/2018,07/28/2018,1:15 AM,2:00 AM,8:00 AM,8:30 AM
07/28/2018,07/29/2018,1:15 AM,2:00 AM,11:45 AM,12:00 PM
07/29/2018,07/30/2018,12:15 AM,1:00 AM,10:15 AM,10:15 AM
07/30/2018,07/31/2018,1:30 AM,2:30 AM,8:00 AM,9:15 AM
07/31/2018,08/01/2018,1:00 AM,1:30 AM,9:00 AM,9:00 AM
08/01/2018,08/02/2018,1:45 AM,2:15 AM,9:00 AM,9:30 AM
08/02/2018,08/03/2018,1:15 AM,2:30 AM,10:30 AM,10:30 AM
08/03/2018,08/04/2018,1:00 AM,2:30 AM,10:00 AM,2:30 PM
08/04/2018,08/05/2018,1:15 AM,2:30 AM,9:00 AM,12:00 PM
08/05/2018,08/06/2018,1:15 AM,2:45 AM,8:00 AM,10:00 AM
08/06/2018,08/07/2018,1:15 AM,2:45 AM,10:45 AM,10:45 AM
08/07/2018,08/08/2018,1:15 AM,1:45 AM,10:15 AM,10:15 AM
08/08/2018,08/09/2018,1:30 AM,1:45 AM,9:00 AM,9:30 AM
08/09/2018,08/10/2018,1:15 AM,1:45 AM,8:00 AM,9:00 AM
08/10/2018,08/11/2018,1:15 AM,1:45 AM,11:00 AM,11:45 AM
08/11/2018,08/12/2018,1:15 AM,1:45 AM,8:00 AM,11:00 AM
08/12/2018,08/13/2018,1:15 AM,1:30 AM,9:15 AM,9:15 AM
08/13/2018,08/14/2018,1:45 AM,2:30 AM,9:15 AM,9:45 AM
08/14/2018,08/15/2018,12:45 AM,2:00 AM,9:00 AM,9:45 AM
08/15/2018,08/16/2018,1:30 AM,2:00 AM,8:45 AM,10:00 AM
08/16/2018,08/17/2018,12:45 AM,1:45 AM,8:45 AM,10:00 AM
08/17/2018,08/18/2018,12:45 AM,2:00 AM,10:00 AM,10:30 AM
08/18/2018,08/19/2018,12:15 AM,1:30 AM,8:00 AM,8:30 AM
08/19/2018,08/20/2018,12:30 AM,12:30 AM,9:00 AM,9:15 AM
08/20/2018,08/21/2018,1:30 AM,2:15 AM,8:45 AM,9:00 AM
08/21/2018,08/22/2018,1:15 AM,1:30 AM,8:45 AM,10:00 AM
08/22/2018,08/23/2018,1:15 AM,2:00 AM,9:45 AM,10:00 AM
08/23/2018,08/24/2018,1:15 AM,1:45 AM,8:30 AM,8:45 AM
08/24/2018,08/25/2018,1:00 AM,1:30 AM,8:45 AM,9:30 AM
08/25/2018,08/26/2018,12:45 AM,1:00 AM,10:00 AM,10:15 AM
08/26/2018,08/27/2018,1:15 AM,1:15 AM,8:30 AM,9:00 AM
08/27/2018,08/28/2018,1:00 AM,2:15 AM,8:45 AM,9:00 AM
08/28/2018,08/29/2018,12:00 AM,12:15 AM,8:00 AM,8:15 AM
08/29/2018,08/30/2018,1:45 AM,2:00 AM,8:30 AM,9:30 AM
08/30/2018,08/31/2018,12:30 AM,1:45 AM,9:00 AM,10:45 AM
08/31/2018,09/01/2018,1:15 AM,1:45 AM,9:30 AM,11:45 AM
09/01/2018,09/02/2018,1:00 AM,1:00 AM,10:30 AM,10:45 AM
09/02/2018,09/03/2018,1:30 AM,2:45 AM,11:00 AM,1:00 PM
09/03/2018,09/04/2018,1:00 AM,1:00 AM,9:45 AM,9:45 AM
09/04/2018,09/05/2018,1:30 AM,2:15 AM,7:30 AM,9:30 AM
09/05/2018,09/06/2018,2:15 AM,3:15 AM,8:15 AM,9:30 AM
09/06/2018,09/07/2018,1:00 AM,1:45 AM,9:15 AM,9:30 AM
09/07/2018,09/08/2018,12:45 AM,2:00 AM,9:30 AM,10:30 AM
09/08/2018,09/09/2018,1:00 AM,1:00 AM,9:45 AM,11:00 AM
09/09/2018,09/10/2018,1:30 AM,1:30 AM,8:00 AM,9:15 AM
09/10/2018,09/11/2018,1:15 AM,1:45 AM,10:00 AM,10:00 AM
09/11/2018,09/12/2018,12:15 AM,2:30 AM,7:45 AM,9:45 AM
09/12/2018,09/13/2018,1:30 AM,2:15 AM,8:30 AM,9:45 AM
09/13/2018,09/14/2018,2:00 AM,2:15 AM,8:45 AM,9:45 AM
09/14/2018,09/15/2018,1:15 AM,1:45 AM,9:45 AM,12:45 PM
09/15/2018,09/16/2018,1:45 AM,2:15 AM,11:45 AM,11:45 AM
09/16/2018,09/17/2018,1:00 AM,1:45 AM,8:00 AM,9:30 AM
09/17/2018,09/18/2018,1:00 AM,1:30 AM,8:30 AM,8:45 AM
09/18/2018,09/19/2018,1:00 AM,1:45 AM,7:30 AM,9:30 AM
09/19/2018,09/20/2018,2:00 AM,2:30 AM,8:30 AM,8:45 AM
09/20/2018,09/21/2018,12:45 AM,1:00 AM,9:30 AM,10:00 AM
09/21/2018,09/22/2018,2:15 AM,2:45 AM,10:30 AM,11:30 AM
09/22/2018,09/23/2018,2:00 AM,2:15 AM,9:30 AM,10:45 AM
09/23/2018,09/24/2018,12:45 AM,1:00 AM,8:45 AM,9:45 AM
09/24/2018,09/25/2018,1:15 AM,1:45 AM,8:45 AM,9:00 AM
09/25/2018,09/26/2018,1:15 AM,2:00 AM,8:30 AM,9:15 AM
09/26/2018,09/27/2018,1:45 AM,2:15 AM,9:00 AM,9:45 AM
09/27/2018,09/28/2018,1:15 AM,2:00 AM,8:15 AM,9:45 AM
09/28/2018,09/29/2018,12:15 AM,1:00 AM,9:45 AM,11:00 AM
09/29/2018,09/30/2018,12:30 AM,2:00 AM,9:00 AM,10:15 AM
09/30/2018,10/01/2018,1:00 AM,1:15 AM,9:00 AM,9:45 AM
10/01/2018,10/02/2018,1:15 AM,1:45 AM,8:15 AM,8:45 AM
10/02/2018,10/03/2018,1:30 AM,2:00 AM,8:15 AM,10:00 AM
10/03/2018,10/04/2018,1:30 AM,2:00 AM,8:30 AM,10:00 AM
10/04/2018,10/05/2018,1:15 AM,1:45 AM,8:15 AM,9:45 AM
10/05/2018,10/06/2018,1:30 AM,2:15 AM,9:45 AM,9:45 AM
10/06/2018,10/07/2018,12:00 AM,1:15 AM,10:30 AM,1:45 PM
10/07/2018,10/08/2018,1:30 AM,1:30 AM,9:15 AM,9:30 AM
10/08/2018,10/09/2018,12:45 AM,1:45 AM,9:30 AM,9:45 AM
10/09/2018,10/10/2018,1:45 AM,2:00 AM,8:45 AM,9:45 AM
10/10/2018,10/11/2018,1:30 AM,2:15 AM,9:45 AM,9:45 AM
10/11/2018,10/12/2018,12:45 AM,1:00 AM,9:15 AM,9:15 AM
10/12/2018,10/13/2018,1:00 AM,2:30 AM,7:30 AM,9:00 AM
10/13/2018,10/14/2018,1:30 AM,2:00 AM,10:00 AM,12:30 PM
10/14/2018,10/15/2018,1:30 AM,2:15 AM,8:30 AM,10:00 AM
10/15/2018,10/16/2018,12:30 AM,1:00 AM,9:30 AM,10:00 AM
10/16/2018,10/17/2018,2:00 AM,2:45 AM,8:15 AM,10:00 AM
10/17/2018,10/18/2018,1:30 AM,2:00 AM,8:30 AM,9:45 AM
10/18/2018,10/19/2018,12:45 AM,1:15 AM,8:30 AM,10:00 AM
10/19/2018,10/20/2018,12:45 AM,1:30 AM,7:45 AM,9:15 AM
10/20/2018,10/21/2018,12:45 AM,12:45 AM,9:00 AM,9:00 AM
10/21/2018,10/22/2018,12:45 AM,1:00 AM,7:30 AM,8:15 AM
10/22/2018,10/23/2018,12:15 AM,12:45 AM,7:30 AM,8:30 AM
10/23/2018,10/24/2018,1:00 AM,1:30 AM,7:45 AM,9:45 AM
10/24/2018,10/25/2018,11:45 PM,12:45 AM,7:30 AM,8:00 AM
10/25/2018,10/26/2018,12:45 AM,1:15 AM,8:15 AM,9:30 AM
10/26/2018,10/27/2018,12:15 AM,12:45 AM,12:00 PM,12:15 PM
10/27/2018,10/28/2018,10:45 PM,11:00 PM,8:45 AM,9:00 AM
10/28/2018,10/29/2018,12:15 AM,12:45 AM,7:30 AM,8:00 AM
10/29/2018,10/30/2018,12:15 AM,1:15 AM,7:30 AM,9:45 AM
10/30/2018,10/31/2018,12:30 AM,1:30 AM,7:30 AM,8:45 AM
10/31/2018,11/01/2018,1:00 AM,1:30 AM,8:30 AM,8:45 AM
11/01/2018,11/02/2018,12:30 AM,12:45 AM,8:00 AM,9:30 AM
11/02/2018,11/03/2018,10:30 PM,11:30 PM,6:30 AM,8:15 AM
11/03/2018,11/04/2018,12:30 AM,1:00 AM,8:00 AM,8:00 AM
11/04/2018,11/05/2018,11:00 PM,11:30 PM,7:30 AM,8:00 AM
11/05/2018,11/06/2018,12:15 AM,12:45 AM,7:30 AM,7:30 AM
11/06/2018,11/07/2018,12:00 AM,12:15 AM,7:30 AM,9:15 AM
11/07/2018,11/08/2018,12:00 AM,12:45 AM,7:30 AM,9:00 AM
11/08/2018,11/09/2018,11:15 PM,11:15 PM,7:45 AM,7:45 AM
11/09/2018,11/10/2018,11:30 PM,1:00 AM,8:15 AM,8:45 AM
11/10/2018,11/11/2018,11:30 PM,11:45 PM,9:30 AM,11:45 AM
